"blue_line_key","downstream_route_measure","watershed_group_code","falls_name","height_m","barrier_ind"
356569685,1719.01191281386,"LARL",,20,TRUE
360263764,342.011840688039,"GRAI",,10,TRUE
360874043,634.025858330986,"KITR",,15,TRUE
354146973,1844.51147671755,"SANJ",,6.3,TRUE
356307410,1011.78410892344,"FRCN",,5,TRUE
354144172,374.974739102654,"BRKS",,6,TRUE
360769845,2042.5569301249,"SQAM",,7,TRUE
359549546,3232.99560371201,"PCEA",,10,TRUE
356342811,4051.46034272055,"SETN",,5,TRUE
356313591,4125.84863279957,"TAKL",,10,TRUE
354153686,454.308484836249,"SANJ",,10,TRUE
356345496,1100.96646124009,"LNIC",,,TRUE
360463117,140.022946991978,"KLUM",,12,TRUE
354151004,1748.41204535142,"ALBN",,10.7,TRUE
354154428,5391.00864261156,"CLAY",,8,TRUE
354135787,4.001244571669,"TSIT",,12,TRUE
360828717,1412.52064348903,"KLUM",,10,TRUE
356360958,3614.45185805231,"HARR",,10,TRUE
359567586,2199.5250583904,"MURR",,20,TRUE
360826764,556.994737031516,"KLUM",,17,TRUE
359557876,14493.9797084785,"PCEA",,20,TRUE
356566519,996.379547387618,"BULL",,35,TRUE
360537487,384.94971853387,"KLUM",,60,TRUE
356545770,518.019519042106,"COLR",,50,TRUE
356322752,439.980919343357,"CARR",,15,TRUE
360868810,244.97304588552,"KNIG",,9,TRUE
360863758,1293.10497629167,"HOMA",,10,TRUE
360822087,4978.02296729575,"BABR",,15,TRUE
356363629,34780.010661302,"MORK",,81,TRUE
356548227,5621.00565703549,"KOTR",,25,TRUE
356553850,1490.51528508095,"KETL",,8.7,TRUE
360810240,12.1768439974419,"LRDO",,25,TRUE
354155023,15299.6387647722,"HOLB",,9.1,TRUE
356518377,1263.03306798263,"KOTR",,40,TRUE
360657797,128.094818387212,"ZYMO",,20,TRUE
360622229,1012.01887904697,"KLUM",,15,TRUE
356561835,8153.1217757674,"DUNC",,5,TRUE
360764699,60.8809174479665,"KISP",,5,TRUE
356560860,595.693952871028,"COLR",,10,TRUE
356550808,803.900943990014,"LARL",,5,TRUE
356245525,961.04429753582,"HERR",,16,TRUE
356548396,1063.60074496085,"UARL",,15,TRUE
359555944,3351.2825078015,"NATR",,8,TRUE
360884202,6084.9891876454,"KITR",,5,TRUE
360886066,6447.98314950496,"KLUM",,8,TRUE
359569522,96704.9732513185,"UPRO",,25,TRUE
360856909,18409.9867150546,"KLUM",,50,TRUE
356352514,14154.2831782968,"ADMS",,20,TRUE
356565245,58.7414968118674,"KOTL",,10,TRUE
356455495,216.040535511931,"KETL",,5,TRUE
356564594,14317.2205382826,"ELKR",,20,TRUE
360706691,1593.40739148592,"ZYMO",,10,TRUE
356508708,4072.5815150487,"SIML",,5,TRUE
354096325,903.022498484052,"ALBN",,9,TRUE
356550856,361.989929686267,"KHOR",,10,TRUE
360868790,15714.972731664,"KLUM",,5,TRUE
354152152,2328.71837039226,"SANJ",,30.5,TRUE
356361709,45337.5452218578,"NECR",,12,TRUE
360760748,914.033768186093,"NASR",,10,TRUE
360340241,39.3145754131654,"NASC",,10,TRUE
360794084,9477.97908707933,"BULK",,20,TRUE
360878710,1304.9944621866,"TSAY",,5,TRUE
360860952,1785.77002318137,"MSKE",,7,TRUE
360879314,240.5875209808,"SQAM",,15,TRUE
360845071,623.993076051886,"SQAM",,10,TRUE
360827027,3054.1327238815,"BABL",,5,TRUE
356538969,2400.59893748041,"SIML",,12,TRUE
356565619,973.464563441081,"LARL",,7,TRUE
360872910,44.2563597245908,"BABL",,6,TRUE
356565876,1831.91014707316,"SMAR",,10,TRUE
356362444,10336.3846737072,"USHU",,19.5,TRUE
354139414,1502.49328413426,"SANJ",,6.8,TRUE
356346448,1583.19407560772,"CARR",,30,TRUE
360880226,3874.99941738049,"MORR",,25,TRUE
359548110,675.855341034625,"MESI",,15,TRUE
360852651,897.985760921948,"UISR",,5,TRUE
354143057,1642.01625192396,"SALM",,12,TRUE
360876207,31392.9983177037,"TOBA",,5,TRUE
360849747,1679.95531424354,"NASC",,7,TRUE
356551948,10437.1904492605,"ELKR",,12,TRUE
360386366,96.0162646639941,"KLUM",,6,TRUE
360874575,26224.5988655149,"KLUM",,30,TRUE
360877635,29781.9934464694,"TOBA",,50,TRUE
359451300,732.963395551317,"MURR",,20,TRUE
354154642,912.785197534051,"SALM",,6,TRUE
356364019,9207.3927463558,"TWAC",,7.5,TRUE
354155031,20369.7017300685,"BRKS",,8,TRUE
360631979,429.003431764769,"LSKE",,10,TRUE
360874849,1062.71797021724,"STIR",,30,TRUE
360833601,574.37823200621,"KLUM",,17.5,TRUE
360830407,2267.49827504212,"GRAI",,20,TRUE
356308446,518.027554721132,"USHU",,6,TRUE
360843046,612.973666410136,"KLUM",,15,TRUE
356364172,11837.9587891421,"HERR",,25,TRUE
360836846,1494.24095593144,"SQAM",,30,TRUE
356526674,82.9301600713136,"REVL",,10,TRUE
354153115,3291.61994358578,"ALBN",,12,TRUE
360865292,2403.96099756096,"NASR",,6,TRUE
356358743,112.004821957892,"SETN",,7,TRUE
360570115,92.9848374484072,"TSAY",,15,TRUE
356554787,1336.24213200315,"DUNC",,8,TRUE
356361637,74029.9978664844,"BRID",,6,TRUE
360507805,506.05775809743,"BELA",,5,TRUE
360872812,6237.78627507912,"GRAI",,6,TRUE
359571382,94247.2546806401,"TURN",,15,TRUE
354151595,4959.44560392154,"COWN",,8,TRUE
360837184,186.351356474649,"NASC",,10,TRUE
356358538,294.398880797469,"CHES","Cheslatta Falls",,TRUE
356363766,1029.86850764926,"LNIC",,1,TRUE
356445749,82.0332324319772,"LARL",,10,TRUE
360871236,17985.9876331727,"KLUM",,20,TRUE
356335636,118.470319164832,"HARR",,5,TRUE
356240822,1668.00328025004,"FRAN",,8,TRUE
356556977,7568.4781294295,"REVL",,5,TRUE
356364396,3643.9546304067,"LNTH",,50,TRUE
356355685,1157.96353625237,"SETN",,30,TRUE
