watershed_group_code,blue_line_key,downstream_route_measure,wscode_ltree,localcode_ltree
LILL,356359224,790.41,100.077501.955583,100.077501.955583
LISR,360884856,382.432,600.059339,600.059339
LKEC,359572903,147.477,200.692231.587311,200.692231.587311
LKEL,360879877,45.299,400.174068,400.174068
LMUS,359572801,116.557,200.692231.350733.577347,200.692231.350733.577347
LNAR,360885942,0,500,500
LNIC,356363343,72.307,100.190442.244975,100.190442.244975
LNRS,355991561,0,100.567134,100.567134.641422
LNTH,356363833,154.327,100.190442.998192,100.190442.998192
LOMI,359571933,1725.367,200.948755.944288,200.948755.944288
LPCE,359572348,1531710.864,200.948755,200.948755.782921
